#ClinGen Gene Curation Results
#26 Dec,2024
#Genomic Locations are reported on chm13 (hs1): GCA_009914755.4
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Haploinsufficiency Disease ID	Triplosensitivity Disease ID
A4GALT	53947	22q13.2	chr22:43172985-43202212	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-12-11		
AAGAB	79719	15q23	chr15:65022578-65077111	3	Sufficient evidence for dosage pathogenicity	23064416	23000146					0	No evidence available							2013-02-28	MONDO:0007858	
AARS1	16	16q22.1	chr16:76062976-76100696	0	No evidence available							0	No evidence available							2018-01-11		
ABAT	18	16p13.2	chr16:8707268-8817335	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013166	
ABCB11	8647	2q31.1	chr2:169389988-169507061	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2020-07-08	MONDO:0011156	
ABCB4	5244	7q21.12	chr7:88651457-88730205	3	Sufficient evidence for dosage pathogenicity	21989363	23684896	25544413				0	No evidence available							2024-04-16	MONDO:0010939	
ABCC8	6833	11p15.1	chr11:17490094-17574488	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-02-24	MONDO:0009734	
ABCD1	215	Xq28	chrX:151998519-152018419	3	Sufficient evidence for dosage pathogenicity	8040304	23835273	25835712	7825602			0	No evidence available							2020-12-02	MONDO:0018544	
ABCG5	64240	2p21	chr2:43817805-43844196	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0020747	
ABCG8	64241	2p21	chr2:43837273-43888321	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0020747	
ABHD12	26090	20p11.21	chr20:25359832-25455939	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-12-11	MONDO:0012984	
ABR	29	17p13.3	chr17:890209-1120756	0	No evidence available							0	No evidence available							2012-09-05		
ABRAXAS1	84142	4q21.23	chr4:86789585-86853448	0	No evidence available	31159747	37198153	29484706				0	No evidence available							2023-07-18		
ACAD8	27034	11q25	chr11:134295393-134307700	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-12-11	MONDO:0012648	
ACADM	34	1p31.1	chr1:75561091-75624237	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008721	
ACADSB	36	10q26.13	chr10:123883974-123933301	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012392	
ACADVL	37	17p13.1	chr17:7118036-7126177	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008723	
ACOX1	51	17q25.1	chr17:76834659-76872306	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-11-20	MONDO:0009919	
ACP5	54	19p13.2	chr19:11702190-11706538	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011939	
ACSF3	197322	16q24.3	chr16:95168234-95244056	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013661	
ACSL4	2182	Xq23	chrX:108072034-108181167	1	Little evidence for dosage pathogenicity	11889465	12525535	21584729	31481330	26350204	22581936	0	No evidence available							2021-04-28	MONDO:0010313	
ACTA2	59	10q23.31	chr10:89819017-89875206	1	Little evidence for dosage pathogenicity	32209317	30056620	34498425				0	No evidence available							2022-09-28		
ACTB	60	7p22.1	chr7:5643932-5681424	0	No evidence available	29220674	31898838	30315159	29274487			0	No evidence available							2022-02-08	MONDO:0000508	
ACTC1	70	15q14	chr15:32595427-32600746	1	Little evidence for dosage pathogenicity	17947298						0	No evidence available							2024-09-10	MONDO:0020434	
ACTL6B	51412	7q22.1	chr7:101883179-101896528	30	Gene associated with autosomal recessive phenotype	32312822	30656450	31031012				Not yet evaluated	Not yet evaluated							2022-11-23	MONDO:0100062	
ACVRL1	94	12q13.13	chr12:51870480-51886934	3	Sufficient evidence for dosage pathogenicity	18312453	20414677					0	No evidence available							2016-11-10	MONDO:0010880	
ADA2	51816	22q11.1	chr22:17855301-17934701	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014306	
ADAM9	8754	8p11.22	chr8:39273896-39382584	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-12-11	MONDO:0013002	
ADAMTS13	11093	9q34.2	chr9:145628786-145673844	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0010122	
ADAMTS17	170691	15q26.3	chr15:97727466-98099011	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013176	
ADAMTS18	170692	16q23.1	chr16:83303996-83491167	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014195	
ADAMTS2	9509	5q35.3	chr5:179664045-179898855	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009161	
ADAMTSL2	9719	9q34.2	chr9:145746173-145789503	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009269	
ADGRG1	9289	16q21	chr16:63405855-63460780	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-05-17	MONDO:0011738	
ADGRV1	84059	5q14.3	chr5:91015959-91650939	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2021-08-23	MONDO:0016484	
ADNP	23394	20q13.13	chr20:52659512-52702036	3	Sufficient evidence for dosage pathogenicity	24531329	25533962					0	No evidence available							2017-11-22	MONDO:0014379	
ADSL	158	22q13.1	chr22:40817871-40861860	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-11-05	MONDO:0007068	
AFF2	2334	Xq28	chrX:146765203-147266230	3	Sufficient evidence for dosage pathogenicity	22065534	21739600	8673085				0	No evidence available							2020-12-08	MONDO:0010659	
AGA	175	4q34.3	chr4:180769443-180781108	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0008830	
AGK	55750	7q34	chr7:142867127-142971096	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-11-20	MONDO:0008922	
AGO4	192670	1p34.3	chr1:35670905-35720783	0	No evidence available							0	No evidence available							2024-10-08		
AGPAT2	10555	9q34.3	chr9:148906123-148920642	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012071	
AGRN	375790	1p36.33	chr1:450247-486183	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014052	
AGT	183	1q42.2	chr1:230071322-230126130	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-11-13	MONDO:0009970	
AGTR2	186	Xq23	chrX:114580328-114584558	0	No evidence available							0	No evidence available							2012-05-10	MONDO:0010454	
AGXT	189	2q37.3	chr2:241367223-241379662	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009823	
AHCY	191	20q11.22	chr20:36003380-36034908	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-06-08	MONDO:0013404	
AHDC1	27245	1p36.11-p35.3	chr1:27375341-27445737	3	Sufficient evidence for dosage pathogenicity	24791903	27148574	29230160				0	No evidence available							2018-02-28	MONDO:0014358	
AHI1	54806	6q23.3	chr6:136471695-136686688	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-09-06	MONDO:0012078	
AICDA	57379	12p13.31	chr12:8585624-8596327	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011528	
AIMP1	9255	4q24	chr4:109626616-109660528	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009843	
AKT1	207	14q32.33	chr14:99012235-99038627	0	No evidence available							0	No evidence available							2022-01-25		
AKT2	208	19q13.2	chr19:43050812-43106036	0	No evidence available							0	No evidence available							2015-05-07		
AKT3	10000	1q43-q44	chr1:242900035-243266582	1	Little evidence for dosage pathogenicity	21800092	25424989	30091983				0	No evidence available							2023-05-09	MONDO:0001149	
ALAD	210	9q32	chr9:125585129-125600106	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013000	
ALDH1A3	220	15q26.3	chr15:98632772-98671163	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014050	
ALDH3A2	224	17p11.2	chr17:19596758-19634379	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0010031	
ALDH4A1	8659	1p36.13	chr1:18691214-18722532	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-04-09	MONDO:0009401	
ALDH5A1	7915	6p22.3	chr6:24364848-24407166	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010083	
ALDOA	226	16p11.2	chr16:30346810-30353102	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012747	
ALG1	56052	16p13.3	chr16:5063195-5116882	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012052	
ALG12	79087	22q13.33	chr22:50404711-50422920	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011783	
ALG2	85365	9q22.33	chr9:111388129-111393646	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014543	
