#ClinGen Region Curation Results
#26 Dec,2024
#Genomic Locations are reported on chm13 (hs1): GCA_009914755.4
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_region.cgi?id=key
#ISCA ID	ISCA Region Name	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Haploinsufficiency Disease ID	Triplosensitivity Disease ID
ISCA-46754	2p11.2 recurrent region (includes EIF2AK3 and RPIA)	2p11.2	chr2:88007217-88767092	0	No evidence available	31600545	31204702	25655429				0	No evidence available							2024-09-12		
ISCA-46753	15q13.3q14 recurrent region (BP5-BP6) (includes GREM1)	15q13.3-q14	chr15:30429782-32185325	1	Little evidence for dosage pathogenicity	18561338	17163532	18458017				0	No evidence available	20610440						2024-08-02		
ISCA-46745	MEG3/DLK1:Intergenic-Differentially Methylated Region (MEG3/DLK1:IG-DMR)	14q32.2	chr14:95043978-95046609	1	Little evidence for dosage pathogenicity	20585555	20585555	35544282				0	No evidence available							2024-09-13	MONDO:0016779	
ISCA-46744	MEG3:Transcription Start Site-Differentially Methylated Region  (MEG3:TSS-DMR)	14q32.2	chr14:95059075-95062529	1	Little evidence for dosage pathogenicity	20585555	24801763		31301299			0	No evidence available							2024-09-13	MONDO:0016779	
ISCA-46743	Xq25 region (includes STAG2)	Xq25	chrX:122210870-122413086	3	Sufficient evidence for dosage pathogenicity							3	Sufficient evidence for dosage pathogenicity	23637084	24733578	26443594	25677961	31609727		2022-11-30		MONDO:0100038
ISCA-46742	7p22.1 region (includes ACTB)	7p22.1	chr7:5614768-5877522	3	Sufficient evidence for dosage pathogenicity	27633570	29220674	32562408				1	Little evidence for dosage pathogenicity	26297194	21998864	22495914	25893121	25124455	27866048	2022-02-08	MONDO:0000508	MONDO:0100038
ISCA-46741	9p24.3 Region (includes DMRT1)	9p24.3	chr9:884555-919592	2	Some evidence for dosage pathogenicity	20685758	22573722	23555275	32741963			Not yet evaluated	Not yet evaluated							2023-11-10	MONDO:0002145	
ISCA-46739	Yq11.223 population region (DGV_Gold_Standard_June_2021_gssvL138428)	Yq11.223	chrY:24861774-25155527	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-03		
ISCA-46738	Yq11.223 population region (DGV_Gold_Standard_June_2021_gssvL138419)	Yq11.223	chrY:23102916-23206331	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-03		
ISCA-46737	Xq27.3 population region (DGV_Gold_Standard_June_2021_gssvL137799)	Xq27.3	chrX:141823254-142017514	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-03		
