#NR_SVs chm13
#chr	outermost_start	outermost_stop	variant_count	variant_type	method	analysis	platform	study	variant	clinical_assertion	clinvar_accession	bin_size
chr1	54658	780025	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15605988	Likely pathogenic	RCV000767825.1;VCV000625817.1	medium
chr1	246868	1270523	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17976301	Pathogenic	RCV002247723.2;VCV001684638.2	large
chr1	247089	1220274	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16297040	Pathogenic	RCV001270634.4;VCV000988904.4	medium
chr1	273316	1556790	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15145726	Pathogenic	RCV000052043.5;VCV000058292.1	large
chr1	301280	1483234	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15147031	Pathogenic	RCV000052064.5;VCV000058312.2	large
chr1	343719	809604	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15154020	Pathogenic	RCV000684531.1;VCV000565056.1	medium
chr1	343719	973399	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15147551	Likely pathogenic	RCV000142178.5;VCV000154003.2	medium
chr1	343719	1048274	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15146762	Pathogenic	RCV000143224.4;VCV000155157.2	medium
chr1	343719	1309615	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16254638	Likely pathogenic	RCV001260110.1;VCV000980934.1	medium
chr1	343719	1480868	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16254640	Pathogenic	RCV001260112.1;VCV000980936.1	large
chr1	343719	1537342	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16254639	Pathogenic	RCV001260111.1;VCV000980935.1	large
chr1	443211	1156988	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15146634	Pathogenic	RCV000134145.5;VCV000144721.2	medium
chr1	449252	487195	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17172693	Pathogenic	RCV001382508.4;VCV001070394.4	medium
chr1	450280	745364	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15129429	Pathogenic	RCV000651427.1;VCV000541215.1	medium
chr1	533260	649208	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15170560	Pathogenic	RCV000748817.2;VCV000612181.2	medium
chr1	622319	1544605	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15155699	Likely pathogenic	RCV000684535.1;VCV000565060.1	medium
chr1	890280	959463	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15149844	Pathogenic	RCV000488906.1;VCV000225699.1	medium
chr1	890722	960965	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16736654	Pathogenic	RCV001293248.1;VCV000992492.1	medium
chr1	910135	953425	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17683496	Likely pathogenic	RCV001591664.1;VCV001213715.1	medium
chr1	913050	952375	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16736655	Pathogenic	RCV001293249.1;VCV000992493.1	medium
chr1	915330	953547	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16736656	Pathogenic	RCV001293250.1;VCV000992494.1	medium
chr1	915562	954420	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15149843	Pathogenic	RCV000488894.1;VCV000225698.1	medium
chr1	917413	953529	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17650016	Pathogenic	RCV001537885.4;VCV001180503.4	medium
chr1	919682	957513	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16736657	Pathogenic	RCV001293251.1;VCV000992495.1	medium
chr1	950516	951916	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16091850	Likely pathogenic	RCV000994331.10;VCV000806418.16	medium
chr1	951072	952506	1	deletion	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17173289	Pathogenic	RCV001293252.1;VCV001077177.1	medium
chr1	985108	1458549	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15156706	Pathogenic	RCV000736349.2;VCV000599713.2	medium
chr1	1220520	1414514	1	copy_number_loss	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv16254637	Likely pathogenic	RCV001260109.1;VCV000980933.1	medium
