#NR_SVs chm13
#chr	outermost_start	outermost_stop	variant_count	variant_type	method	analysis	platform	study	variant	clinical_assertion	clinvar_accession	bin_size
chr1	261650	683037	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15145712	Pathogenic	RCV000051781.4;VCV000058038.1	medium
chr1	804542	1547514	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15124518	Likely pathogenic	RCV000239796.1;VCV000253365.1	medium
chr1	3223623	3539334	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15131836	Pathogenic	RCV000133657.4;VCV000144175.2	medium
chr1	4313244	5655362	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15133499	Pathogenic	RCV000051784.4;VCV000058041.1	large
chr1	5374870	5504134	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15129978	Likely pathogenic	RCV000498447.2;VCV000431733.2	medium
chr1	5516953	5624387	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15128614	Likely pathogenic	RCV000498447.2;VCV000431733.2	medium
chr1	6178003	12268960	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15132156	Pathogenic	RCV000051794.6;VCV000058051.2	large
chr1	6349991	6891449	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18786277	Pathogenic	RCV000030684.3;VCV000037007.2	medium
chr1	6736203	6877752	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15155703	Likely pathogenic	RCV000684544.1;VCV000565069.1	medium
chr1	7726203	12269369	1	copy_number_gain	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv15124325	Likely pathogenic	RCV000240284.1;VCV000253358.1	large
chr1	9519313	9519314	2	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv17683588;nssv17683589	Pathogenic	RCV001358652.2;VCV001050789.2;RCV001358653.2;VCV001050789.2	small
chr1	10741221	10741222	1	duplication	Multiple	Multiple	NA	Clinical_Structural_Variants	nssv18792562	Likely pathogenic	RCV003153177.1;VCV002444379.1	small
